### Traits ###

adult_of_destiny;Adult of Destiny;;;;;;;;;;;;;x
adult_of_destiny_desc;Even though this character had a particularly mediocre childhood, they were thrust into the limelight overnight, and they didn't even have to be go through all the trouble of killing snakes and reading books.;;;;;;;;;;;;;x

age_shifted;Age Shifted;;;;;;;;;;;;;x
age_shifted_desc;This character had their age shifted, and as a result their diplomatic skills have suffered greatly.;;;;;;;;;;;;;x

dungeon_master;Dungeon Master;;;;;;;;;;;;;x
dungeon_master_desc;The Dungeon Master, mighty dice roller and occasional controller of destiny.;;;;;;;;;;;;;x

midas_plague;Midas Plague;;;;;;;;;;;;;x
midas_plague_desc;This character has the Midas Plague, a terrifying affliction which slowly turns the infected into solid gold!;;;;;;;;;;;;;x

ozyman_trait;Ozymandias;;;;;;;;;;;;;x
ozyman_trait_desc;This character is an ancient king risen again to reclaim the lands lost to the ravages of time.;;;;;;;;;;;;;x

glitterstomp_trait;Glitterstomp;;;;;;;;;;;;;x
glitterstomp_trait_desc;The horse-horse lord, 60ft tall and a destructive force unlike any other.;;;;;;;;;;;;;x 

joris_trait;A Perfectly Normal Man;;;;;;;;;;;;;x
joris_trait_desc;This is a perfectly normal man, despite what you believe. Would you rather this said 'Genius' or 'Proud', I don't understand, it's just a regular guy.;;;;;;;;;;;;;x

kf_trait;Super Seducer;;;;;;;;;;;;;x
kf_trait_desc;This character was selected as the super seducer, a man destined to father a thousand children, or, perhaps, just as many as the game can handle without crashing.;;;;;;;;;;;;;x

bobross_trait;Bob Ross;;;;;;;;;;;;;x
bobross_trait_desc;This man spends his time painting happy little trees and lulling those around him into a deep, comfortable sleep with his voice.;;;;;;;;;;;;;x

genius_fake;Genius;;;;;;;;;;;;;x
genius_fake_desc;This character is blessed with a towering intellect.\nMartial: §G+5§!\nIntrigue: §G+5§!\nDiplomacy: §G+5§!\nStewardship: §G+5§!\nLearning: §G+5§!\nPersonal Combat Skill: §G+10§!\nVassal Opinion: §G+5§!;;;;;;;;;;;;;x

### Dungeon Master Character Misc ###

e_dungeon;The Grand Dungeon;;;;;;;;;;;;;x
k_dungeon;The Grand Dungeon;;;;;;;;;;;;;x
dungeon_master;DM;;;;;;;;;;;;;x
dungeon_master_title;DM;;;;;;;;;;;;;x
god_rng;RNG;;;;;;;;;;;;;x
dungeon_religion;Dungeon Mastery;;;;;;;;;;;;;x
dungeon_religion_DESC;Dungeon Mastery is the ancient and formidable art of manipulating the luck of the foolhardy into interesting and cruel outcomes.;;;;;;;;;;;;;x
dungeon_religion_group;DM Group;;;;;;;;;;;;;x
dungeon_guide;Dungeon Master's Guide;;;;;;;;;;;;;x
master;Master;;;;;;;;;;;;;x
cruelty;Cruelty;;;;;;;;;;;;;x

dm_culture_group;Dungeon Mastery;;;;;;;;;;;;;x
dm_culture;Chaotic Neutral;;;;;;;;;;;;;x
dm_culture_adj;Chaotic;;;;;;;;;;;;;x
gary_culture;Gary;;;;;;;;;;;;;x
gary_culture_adj;Gary;;;;;;;;;;;;;x
